type,data,info
description,https://www.huntress.com/blog/kali365-device-code-phishing-kit, Indicators associated with the Kali365 phishkit
ip,34.87.147.59,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.130.9.20,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.130.33.215,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.130.41.76,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.130.61.193,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.130.71.155,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.130.102.216,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.0.54,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.1.118,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.2.231,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.3.58,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.5.194,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.9.204,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.30.4,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.40.210,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.44.102,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.45.240,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.49.221,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.51.96,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.52.235,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.56.141,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.57.11,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.60.143,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.60.226,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.131.63.254,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.135.128.56,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.135.138.59,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.135.144.55,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.135.168.153,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.2.249,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.7.146,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.11.147,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.12.20,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.18.172,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.21.150,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.23.10,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.33.28,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.33.118,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.53.222,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.59.231,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.66.46,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.67.95,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.72.91,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.79.181,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.81.24,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.87.19,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.153.100.178,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.2.149,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.12.44,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.16.226,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.21.165,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.28.242,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.32.47,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.42.252,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.44.160,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.47.176,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.50.222,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.51.193,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.60.162,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.62.86,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.64.101,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.64.133,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.65.163,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.67.99,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.71.214,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.72.99,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.80.139,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.82.209,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.84.24,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.88.63,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.90.64,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.108.91,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.157.118.80,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.159.171.69,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.173.64.0/18,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.165.1.42,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.166.139.181,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.166.203.164,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.166.211.243,IPv4 address known to host or have hosted a Kali365 phishkit
ip,43.166.212.81,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.141.209,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.142.193,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.166.31,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.168.193,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.169.90,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.202.230,IPv4 address known to host or have hosted a Kali365 phishkit
ip,49.51.203.63,IPv4 address known to host or have hosted a Kali365 phishkit
ip,64.7.198.10,IPv4 address known to host or have hosted a Kali365 phishkit
ip,65.38.120.24,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.55.210,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.121.57,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.218.217,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.226.76,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.230.6,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.232.182,IPv4 address known to host or have hosted a Kali365 phishkit
ip,162.62.233.174,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.76.156,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.106.217,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.107.226,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.116.24,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.119.249,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.141.49,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.176.195,IPv4 address known to host or have hosted a Kali365 phishkit
ip,170.106.186.18,IPv4 address known to host or have hosted a Kali365 phishkit
ip,206.188.197.215,IPv4 address known to host or have hosted a Kali365 phishkit
url_path,/tokens,Token vault — captured M365 sessions
url_path,/lures,Phishing lure management
url_path,/compose,B2B email sender via captured tokens
url_path,/contacts,Email harvest%2C classify%2C verify
url_path,/keywords,Mailbox keyword monitoring & alerts
url_path,/domains,CF Workers%2C linked domains%2C marketplace
url_path,/mfa,Org MFA scan / admin user management
url_path,/import,Token import (paste / bulk)
url_path,/live,Live send-job progress view
url_path,/ai,AI email template generator
url_path,/settings,Profile%2C 2FA%2C Telegram bot%2C branding
url_path,/admin/clients,Client list UI — frontend alias%2C calls same /admin/users API
url_path,/admin/agents,Agent/reseller management
url_path,/admin/overview,Kali365 API call to GET request for Admin-level panel statistics
url_path,/admin/users,Kali365 API call to GET request for List all panel users (clients)
url_path,/admin/users/create,Kali365 API call to POST request for Create new panel user
url_path,/admin/users/{id}/reset-password,Kali365 API call to POST request for Reset user's panel password
url_path,/admin/users/{id}/delete,Kali365 API call to POST request for Delete panel user
url_path,/admin/users/{id},Kali365 API call to GET request for Get single user detail
url_path,/admin/users/{id}/extend,Kali365 API call to POST request for Extend user subscription (body: days)
url_path,/admin/agents,Kali365 API call to GET request for List agents (resellers)
url_path,/admin/agents/create,Kali365 API call to POST request for Create agent account
url_path,/admin/agents/{id},Kali365 API call to GET request for Get single agent detail
url_path,/admin/agents/{id}/update,Kali365 API call to POST request for Update agent settings
url_path,/admin/agents/{id}/suspend,Kali365 API call to POST request for Suspend agent account
url_path,/admin/agents/{id}/resume,Kali365 API call to POST request for Resume agent account
url_path,/admin/agents/{id}/delete,Kali365 API call to POST request for Delete agent account
url_path,/admin/billing/status,Kali365 API call to GET request for Account billing state
url_path,/admin/billing/buy-slots,Kali365 API call to POST request for Purchase operator slots (body: count)
url_path,/admin/billing/pay-invoice/{id},Kali365 API call to POST request for Pay a specific invoice
url_path,/admin/billing/check-payment/{id},Kali365 API call to POST request for Verify payment status
url_path,/agent/dashboard,Kali365 API call to GET request for Agent dashboard overview
url_path,/agent/clients,Kali365 API call to GET request for List agent's client accounts
url_path,/agent/clients/create,Kali365 API call to POST request for Create client under this agent
url_path,/agent/clients/{id}/update,Kali365 API call to POST request for Update client settings
url_path,/agent/clients/{id}/extend,Kali365 API call to POST request for Extend client subscription (days)
url_path,/dash/auth,Kali365 API call to POST request for Login — username + password
url_path,/dash/auth/2fa,Kali365 API call to POST request for Submit 2FA code post-login
url_path,/dash/forgot-password,Kali365 API call to POST request for Step 1 password reset (body: {username}); delivers 6-digit code via Telegram
url_path,/dash/reset-password,Kali365 API call to POST request for Step 2 password reset (body: {username&#x2c; code&#x2c; new_password})
url_path,/dash/branding,Kali365 API call to GET request for Panel branding (name&#x2c; theme)
url_path,/dash/me,Kali365 API call to GET request for Current user profile
url_path,/dash/me/update,Kali365 API call to POST request for Update display name&#x2c; Telegram bot token/chat ID
